A-YTau	IC9039
B-FUAur	IC9040
D-SUTau	IC9041
B-TUGem	IC9042
C-GKOri	IC9043
A-FUMon	IC9044
S-VAur	IC9045
C-BLOri	IC9046
A-RVAur	IC9047
B-UUAur	IC9048
C-VWGem	IC9049
C-GYMon	IC9050
C-NPPup	IC9051
B-RVMon	IC9052
D-V614Mon	IC9053
S-RYMon	IC9054
C-WCMa	IC9055
A-RCMi	IC9056
B-BMGem	IC9057
D-RUCam	IC9058
B-BECMa	IC9059
C-NQGem	IC9060
C-WCMi	IC9061
C-RTPup	IC9062
A-RUPup	IC9063
S-IRPup	IC9064
S-RYHya	IC9065
A-ACPup	IC9066
A-YYPyx	IC9067
D-UZPyx	IC9068
A-XCnc	IC9069
SS-TCnc	IC9070
A-RTUMa	IC9071
S-YHya	IC9072
S-XVel	IC9073
B-SZCar	IC9074
C-ABAnt	IC9075
B-UAnt	IC9076
B-UHya	IC9077
C-VYUMa	IC9078
C-TZCar	IC9079
SS-VHya	IC9080
C-SYCar	IC9081
D-SCen	IC9082
S-SSVir	IC9083
C-YCVn	IC9084
SS-RUVir	IC9085
SS-DYCru	IC9086
A-RYDra	IC9087
D-TTCVn	IC9088
D-SAO157721	IC9089
D-HMLib	IC9090
D-RCrB	IC9091
S-VCrB	IC9092
A-RRHer	IC9093
S-VOph	IC9094
S-SUSco	IC9095
SS-V901Sco	IC9096
D-SAO46574	IC9097
S-TWOph	IC9098
S-VPav	IC9099
C-SZSgr	IC9100
B-SXSco	IC9101
SS-TDra	IC9102
D-FOSer	IC9103
S-ACHer	IC9104
S-SSSgr	IC9105
SS-TLyr	IC9106
A-HKLyr	IC9107
B-RVSct	IC9108
S-DRSer	IC9109
A-SSct	IC9110
A-UVAql	IC9111
S-VAql	IC9112
C-V1942Sgr	IC9113
ULyr	IC9114
B-UXDra	IC9115
D-NSV11960	IC9116
S-AWCyg	IC9117
A-AQSgr	IC9118
A-TTCyg	IC9119
A-AXCyg	IC9120
C-V1469Aql	IC9121
BFSge	IC9122
A-XSge	IC9123
A-SVCyg	IC9124
B-RYCyg	IC9125
A-RSCyg	IC9126
S-RTCap	IC9127
C-WXCyg	IC9128
A-UCyg	IC9129
V778Cyg	IC9130
A-BDVul	IC9131
S-VCyg	IC9132
CYCyg	IC9133
D-SAO106516	IC9134
D-NSV13571	IC9135
S-SCep	IC9136
C-V460Cyg	IC9137
SS-RVCyg	IC9138
S-LWCyg	IC9139
A-RXPeg	IC9140
S-RZPeg	IC9141
B-DGCep	IC9142
B-TVLac	IC9143
S-VYAnd	IC9144
D-RUAqr	IC9145
A-EWAnd	IC9146
A-STAnd	IC9147
C-TXPsc	IC9148
D-SAO128396	IC9149
Berk59	IC9150
Berk104	IC9151
Blanco1	IC9152
Stock19	IC9153
Cz1	IC9154
Berk1	IC9155
King13	IC9156
Berk60	IC9157
King1	IC9158
Berk2	IC9159
Stock21	IC9160
King14	IC9161
King15	IC9162
Stock24	IC9163
King16	IC9164
Cz2	IC9165
Berk4	IC9166
Berk61	IC9167
Do13	IC9168
King2	IC9169
Berk62	IC9170
Cz3	IC9171
Stock3	IC9172
Basel10	IC9173
Stock20	IC9174
Cz4	IC9175
Berk5	IC9176
Berk6	IC9177
Stock4	IC9178
Berk7	IC9179
Cz5	IC9180
Berk8	IC9181
Cz6	IC9182
Cz7	IC9183
Stock5	IC9184
Stock2	IC9185
Berk63	IC9186
Berk64	IC9187
Stock6	IC9188
Tombaugh4	IC9189
Mrk6	IC9190
Cz8	IC9191
Cz9	IC9192
Cz10	IC9193
Cz11	IC9194
King4	IC9195
Berk65	IC9196
Cz12	IC9197
Cz13	IC9198
Berk66	IC9199
King5	IC9200
Stock23	IC9201
Cz14	IC9202
Cz15	IC9203
King6	IC9204
Cz16	IC9205
Berk10	IC9206
Berk9	IC9207
Tombaugh5	IC9208
Cz17	IC9209
King7	IC9210
Do14	IC9211
Berk11	IC9212
Cz18	IC9213
Berk67	IC9214
Berk68	IC9215
Berk12	IC9216
Ru148	IC9217
Berk13	IC9218
Cz19	IC9219
Berk14	IC9220
Berk15	IC9221
King17	IC9222
Do16	IC9223
Cz20	IC9224
Berk17	IC9225
Berk18	IC9226
Do19	IC9227
DoDz2	IC9228
Do18	IC9229
Berk19	IC9230
Berk69	IC9231
Berk70	IC9232
Cz21	IC9233
Stock8	IC9234
Do20	IC9235
Berk20	IC9236
DoDz3	IC9237
DoDz4	IC9238
Stock10	IC9239
Berk71	IC9240
Basel4	IC9241
King8	IC9242
Cz23	IC9243
Berk72	IC9244
Berk21	IC9245
Cz24	IC9246
Berk22	IC9247
Cz25	IC9248
Berk73	IC9249
Do22	IC9250
Cz26	IC9251
Berk23	IC9252
Ru1	IC9253
VDB1	IC9254
Berk24	IC9255
Berk25	IC9256
Ru2	IC9257
Ru3	IC9258
Do23	IC9259
Do24	IC9260
Do25	IC9261
Ru4	IC9262
Berk75	IC9263
Biur12	IC9264
Biur11	IC9265
Biur10	IC9266
Ru149	IC9267
Berk29	IC9268
Ru5	IC9269
Ru6	IC9270
Biur7	IC9271
Ru7	IC9272
Biur9	IC9273
Biur8	IC9274
Tombaugh1	IC9275
Biur13	IC9276
Ru8	IC9277
Cz27	IC9278
Tombaugh2	IC9279
Haffner3	IC9280
Ru150	IC9281
Haffner4	IC9282
Ru10	IC9283
Berk76	IC9284
Ru12	IC9285
Ru11	IC9286
Ru13	IC9287
Haffner23	IC9288
Basel6	IC9289
Berk35	IC9290
Ru14	IC9291
Berk36	IC9292
Haffner5	IC9293
Ru15	IC9294
Haffner6	IC9295
Berk37	IC9296
Berk77	IC9297
King23	IC9298
Haffner7	IC9299
Ru16	IC9300
Haffner8	IC9301
Ru17	IC9302
Berk78	IC9303
Haffner9	IC9304
Ru18	IC9305
Ru19	IC9306
Ru20	IC9307
Ru21	IC9308
Cz29	IC9309
Haffner10	IC9310
Ru22	IC9311
Do26	IC9312
Ru23	IC9313
Cz30	IC9314
Ru24	IC9315
Haffner15	IC9316
Haffner11	IC9317
Ru25	IC9318
Cz31	IC9319
Ru26	IC9320
Ru27	IC9321
Ru28	IC9322
Haffner13	IC9323
Ru29	IC9324
Ru151	IC9325
Ru30	IC9326
Ru31	IC9327
Haffner14	IC9328
Ru32	IC9329
Auner1	IC9330
Ru33	IC9331
Ru34	IC9332
Ru35	IC9333
Berk39	IC9334
Ru36	IC9335
Haffner25	IC9336
Ru37	IC9337
Haffner16	IC9338
Cz32	IC9339
Ru38	IC9340
Haffner17	IC9341
Ru39	IC9342
Haffner18	IC9343
Basel8	IC9344
Haffner19	IC9345
Ru40	IC9346
Ru41	IC9347
Ru152	IC9348
DoDz6	IC9349
Haffner20	IC9350
Ru42	IC9351
Ru43	IC9352
Ru44	IC9353
Ru45	IC9354
Ru153	IC9355
Haffner21	IC9356
Ru154	IC9357
Ru46	IC9358
Ru47	IC9359
Ru48	IC9360
Ru49	IC9361
Ru50	IC9362
Ru51	IC9363
Ru155	IC9364
Ru52	IC9365
Ru53	IC9366
Ru54	IC9367
Ru55	IC9368
Haffner22	IC9369
Ru56	IC9370
Ru58	IC9371
Ru57	IC9372
Haffner26	IC9373
Pismis2	IC9374
Ru59	IC9375
Ru60	IC9376
Ru61	IC9377
Ru157	IC9378
Pismis3	IC9379
Ru63	IC9380
Ru62	IC9381
Pismis4	IC9382
Ru64	IC9383
Pismis5	IC9384
Ru65	IC9385
Pismis6	IC9386
Ru66	IC9387
Pismis7	IC9388
Pismis8	IC9389
Ru67	IC9390
Ru69	IC9391
Ru68	IC9392
Waterloo6	IC9393
Ru70	IC9394
Ru71	IC9395
Ru72	IC9396
Mrk18	IC9397
Ru73	IC9398
Muzzio1	IC9399
Pismis11	IC9400
Pismis12	IC9401
Ru159	IC9402
Ru74	IC9403
Ru75	IC9404
Pismis13	IC9405
Ru76	IC9406
Ru77	IC9407
Ru78	IC9408
Pismis14	IC9409
Pismis15	IC9410
Ru79	IC9411
Ru80	IC9412
Ru81	IC9413
Ru82	IC9414
Ru83	IC9415
Ru84	IC9416
Pismis16	IC9417
